,Year,State,Length,Value,Type_1,Type_2,Expense_1,Expense_2
0,2013.0,Alabama,4-year,13983.0,Private,,Fees,Tuition
1,2013.0,Alabama,4-year,8503.0,Private,,Room,Board
2,2013.0,Alabama,2-year,4048.0,Public,In-State,Fees,Tuition
3,2013.0,Alabama,4-year,8073.0,Public,In-State,Fees,Tuition
4,2013.0,Alabama,4-year,8473.0,Public,In-State,Room,Board
5,2013.0,Alabama,2-year,7736.0,Public,Out-of-State,Fees,Tuition
6,2013.0,Alabama,4-year,20380.0,Public,Out-of-State,,Tuition
7,2013.0,Alabama,4-year,9999999.0,Public,Out-of-State,Room,Board
8,2013.0,Alaska,4-year,21496.0,Private,,Fees,Tuition
9,2013.0,Alaska,4-year,8923.0,Private,,Room,Board
10,2013.0,Alaska,2-year,3972.0,Public,In-State,Fees,Tuition
11,9999.0,Alaska,4-year,6317.0,Public,In-State,Fees,Tuition
12,,,,,,,,
13,2013.0,Alaska,2-year,4150.0,Public,Out-of-State,,Tuition
14,2013.0,Alaska,4-year,18790.0,Public,Out-of-State,Fees,Tuition
15,2013.0,Alaska,4-year,9098.0,Public,Out-of-State,Room,Board
16,9999.0,Arizona,4-year,11650.0,Private,,,Tuition
17,2013.0,Arizona,4-year,8744.0,Private,,Room,Board
18,2013.0,Arizona,2-year,1842.0,Public,In-State,Fees,Tuition
19,2013.0,Arizona,4-year,9694.0,Public,In-State,Fees,Tuition
20,2013.0,Arizona,4-year,9370.0,Public,In-State,Room,Board
21,2013.0,Arizona,2-year,7870.0,Public,Out-of-State,Fees,Tuition
22,,,,,,,,
23,2013.0,Arizona,4-year,9370.0,Public,Out-of-State,Room,Board
24,2013.0,AR,4-year,18004.0,Private,,Fees,Tuition
25,2013.0,AR,4-year,7263.0,Private,,Room,Board
26,2013.0,AR,2-year,2633.0,Public,In-State,Fees,Tuition
27,2013.0,AR,4-year,6604.0,Public,In-State,Fees,Tuition
28,2013.0,AR,4-year,7331.0,Public,In-State,Room,Board
29,2013.0,AR,2-year,4605.0,Public,Out-of-State,Fees,Tuition
30,,,,,,,,
31,2013.0,AR,4-year,7331.0,Public,Out-of-State,,Board
32,2013.0,California,4-year,28345.0,Private,,Fees,Tuition
33,2013.0,California,4-year,12254.0,Private,,Room,Board
34,2013.0,California,2-year,1225.0,Public,In-State,Fees,Tuition
35,2013.0,California,4-year,8892.0,Public,In-State,Fees,Tuition
36,2013.0,California,4-year,12137.0,Public,In-State,Room,Board
37,2013.0,California,2-year,6267.0,Public,Out-of-State,Fees,Tuition
38,,,,,,,,
39,2013.0,California,4-year,9999999.0,Public,Out-of-State,Room,Board
40,2013.0,Colorado,4-year,19967.0,Private,,Fees,Tuition
41,2013.0,Colorado,4-year,10939.0,Private,,Room,Board
42,2013.0,Colorado,2-year,3004.0,Public,In-State,Fees,Tuition
43,2013.0,Colorado,4-year,7656.0,Public,In-State,Fees,Tuition
44,2013.0,Colorado,4-year,10396.0,Public,In-State,Room,Board
45,2013.0,Colorado,2-year,8882.0,Public,Out-of-State,Fees,Tuition
46,2013.0,Colorado,4-year,25470.0,Public,Out-of-State,Fees,Tuition
47,2013.0,Colorado,4-year,10396.0,Public,Out-of-State,Room,Board
48,2013.0,Connecticut,4-year,35336.0,Private,,Fees,Tuition
49,2013.0,Connecticut,4-year,12926.0,Private,,Room,Board
50,2013.0,Connecticut,2-year,3596.0,Public,In-State,Fees,Tuition
51,2013.0,Connecticut,4-year,9517.0,Public,In-State,Fees,Tuition
52,2013.0,Connecticut,4-year,11138.0,Public,In-State,Room,Board
53,2013.0,Connecticut,2-year,10512.0,Public,Out-of-State,Fees,Tuition
54,2013.0,Connecticut,4-year,26688.0,Public,Out-of-State,Fees,Tuition
55,2013.0,Connecticut,4-year,11138.0,Public,Out-of-State,,Board
56,2013.0,Delaware,4-year,12943.0,Private,,Fees,Tuition
57,2013.0,Delaware,4-year,10758.0,Private,,Room,Board
58,2013.0,Delaware,2-year,3242.0,Public,In-State,Fees,Tuition
59,2013.0,Delaware,4-year,10929.0,Public,In-State,Fees,Tuition
60,2013.0,Delaware,4-year,11011.0,Public,In-State,Room,Board
61,2013.0,Delaware,2-year,7562.0,Public,Out-of-State,Fees,Tuition
62,9999.0,Delaware,4-year,26228.0,Public,Out-of-State,Fees,Tuition
63,2013.0,Delaware,4-year,11011.0,Public,Out-of-State,Room,Board
64,,,,,,,,
65,2013.0,District of Columbia,4-year,12916.0,Private,,Room,Board
66,2013.0,District of Columbia,4-year,7244.0,Public,In-State,Fees,Tuition
67,2013.0,District of Columbia,4-year,14540.0,Public,Out-of-State,Fees,Tuition
68,2013.0,Florida,4-year,20155.0,Private,,Fees,Tuition
69,2013.0,Florida,4-year,9968.0,Private,,Room,Board
70,2013.0,Florida,2-year,2486.0,Public,In-State,,Tuition
71,2013.0,Florida,4-year,4377.0,Public,In-State,Fees,Tuition
72,2013.0,Florida,4-year,9793.0,Public,In-State,Room,Board
73,2013.0,Florida,2-year,6889.0,Public,Out-of-State,Fees,Tuition
74,2013.0,Florida,4-year,9999999.0,Public,Out-of-State,Fees,Tuition
75,2013.0,Florida,4-year,9793.0,Public,Out-of-State,Room,Board
76,2013.0,Georgia,4-year,22456.0,Private,,Fees,Tuition
77,,,,,,,,
78,9999.0,Georgia,2-year,2652.0,Public,In-State,Fees,Tuition
79,2013.0,Georgia,4-year,6325.0,Public,In-State,Fees,Tuition
80,2013.0,Georgia,4-year,9005.0,Public,In-State,Room,Board
81,9999.0,Georgia,2-year,7554.0,Public,Out-of-State,Fees,Tuition
82,2013.0,Georgia,4-year,22393.0,Public,Out-of-State,Fees,Tuition
83,2013.0,Georgia,4-year,9005.0,Public,Out-of-State,Room,Board
84,2013.0,Hawaii,4-year,14287.0,Private,,Fees,Tuition
85,,,,,,,,
86,2013.0,Hawaii,2-year,2484.0,Public,In-State,Fees,Tuition
87,2013.0,Hawaii,4-year,7731.0,Public,In-State,Fees,Tuition
88,2013.0,Hawaii,4-year,9256.0,Public,In-State,Room,Board
89,2013.0,Hawaii,2-year,7166.0,Public,Out-of-State,,Tuition
90,2013.0,Hawaii,4-year,23614.0,Public,Out-of-State,Fees,Tuition
91,,,,,,,,
92,2013.0,Idaho,4-year,6752.0,Private,,Fees,Tuition
93,2013.0,Idaho,4-year,4792.0,Private,,Room,Board
94,2013.0,Idaho,2-year,2915.0,Public,In-State,Fees,Tuition
95,9999.0,Idaho,4-year,5980.0,Public,In-State,Fees,Tuition
96,2013.0,Idaho,4-year,9999999.0,Public,In-State,,Board
97,2013.0,Idaho,2-year,7276.0,Public,Out-of-State,Fees,Tuition
98,2013.0,Idaho,4-year,17736.0,Public,Out-of-State,Fees,Tuition
99,2013.0,Idaho,4-year,7496.0,Public,Out-of-State,,Board
100,2013.0,Illinois,4-year,26299.0,Private,,Fees,Tuition
101,2013.0,Illinois,4-year,10798.0,Private,,Room,Board
102,2013.0,Illinois,2-year,3192.0,Public,In-State,Fees,Tuition
103,2013.0,Illinois,4-year,11882.0,Public,In-State,Fees,Tuition
104,2013.0,Illinois,4-year,10340.0,Public,In-State,Room,Board
105,2013.0,Illinois,2-year,9034.0,Public,Out-of-State,,Tuition
106,2013.0,Illinois,4-year,26873.0,Public,Out-of-State,,Tuition
107,2013.0,Illinois,4-year,10340.0,Public,Out-of-State,Room,Board
108,2013.0,Indiana,4-year,26794.0,Private,,Fees,Tuition
109,2013.0,Indiana,4-year,9574.0,Private,,Room,Board
110,2013.0,Indiana,2-year,3455.0,Public,In-State,Fees,Tuition
111,2013.0,Indiana,4-year,8269.0,Public,In-State,,Tuition
112,2013.0,Indiana,4-year,9999999.0,Public,In-State,Room,Board
113,2013.0,Indiana,2-year,7302.0,Public,Out-of-State,Fees,Tuition
114,2013.0,Indiana,4-year,26538.0,Public,Out-of-State,Fees,Tuition
115,2013.0,Indiana,4-year,9489.0,Public,Out-of-State,Room,Board
116,2013.0,Iowa,4-year,15426.0,Private,,Fees,Tuition
117,2013.0,Iowa,4-year,9999999.0,Private,,Room,Board
118,2013.0,Iowa,2-year,4099.0,Public,In-State,Fees,Tuition
119,2013.0,Iowa,4-year,7832.0,Public,In-State,Fees,Tuition
120,2013.0,Iowa,4-year,8525.0,Public,In-State,Room,Board
121,2013.0,Iowa,2-year,5190.0,Public,Out-of-State,Fees,Tuition
122,2013.0,Iowa,4-year,23019.0,Public,Out-of-State,Fees,Tuition
123,2013.0,Iowa,4-year,8525.0,Public,Out-of-State,Room,Board
124,2013.0,Kansas,4-year,20852.0,Private,,Fees,Tuition
125,2013.0,Kansas,4-year,7673.0,Private,,Room,Board
126,,,,,,,,
127,2013.0,Kansas,4-year,6970.0,Public,In-State,Fees,Tuition
128,2013.0,Kansas,4-year,6931.0,Public,In-State,Room,Board
129,2013.0,Kansas,2-year,4023.0,Public,Out-of-State,Fees,Tuition
130,2013.0,Kansas,4-year,17646.0,Public,Out-of-State,Fees,Tuition
131,2013.0,Kansas,4-year,6931.0,Public,Out-of-State,Room,Board
132,2013.0,Kentucky,4-year,9999999.0,Private,,Fees,Tuition
133,2013.0,Kentucky,4-year,8015.0,Private,,Room,Board
134,2013.0,Kentucky,2-year,3391.0,Public,In-State,Fees,Tuition
135,2013.0,Kentucky,4-year,8416.0,Public,In-State,Fees,Tuition
136,2013.0,Kentucky,4-year,8164.0,Public,In-State,Room,Board
137,,,,,,,,
138,2013.0,Kentucky,4-year,19040.0,Public,Out-of-State,Fees,Tuition
139,2013.0,Kentucky,4-year,8164.0,Public,Out-of-State,Room,Board
140,2013.0,Louisiana,4-year,28691.0,Private,,Fees,Tuition
141,2013.0,Louisiana,4-year,10397.0,Private,,Room,Board
142,2013.0,Louisiana,2-year,2837.0,Public,In-State,Fees,Tuition
143,2013.0,Louisiana,4-year,5817.0,Public,In-State,,Tuition
144,2013.0,Louisiana,4-year,8428.0,Public,In-State,,Board
145,2013.0,Louisiana,2-year,5781.0,Public,Out-of-State,Fees,Tuition
146,2013.0,Louisiana,4-year,17405.0,Public,Out-of-State,Fees,Tuition
147,2013.0,Louisiana,4-year,8428.0,Public,Out-of-State,,Board
148,2013.0,Maine,4-year,31558.0,Private,,Fees,Tuition
149,2013.0,Maine,4-year,11187.0,Private,,Room,Board
150,2013.0,Maine,2-year,3409.0,Public,In-State,Fees,Tuition
151,2013.0,Maine,4-year,9295.0,Public,In-State,Fees,Tuition
152,2013.0,Maine,4-year,9381.0,Public,In-State,Room,Board
153,2013.0,Maine,2-year,6053.0,Public,Out-of-State,Fees,Tuition
154,2013.0,Maine,4-year,24397.0,Public,Out-of-State,Fees,Tuition
155,2013.0,Maine,4-year,9999999.0,Public,Out-of-State,Room,Board
156,9999.0,Maryland,4-year,32580.0,Private,,Fees,Tuition
157,2013.0,Maryland,4-year,12238.0,Private,,Room,Board
158,2013.0,Maryland,2-year,3500.0,Public,In-State,Fees,Tuition
159,2013.0,Maryland,4-year,8051.0,Public,In-State,Fees,Tuition
160,2013.0,Maryland,4-year,10043.0,Public,In-State,Room,Board
161,,,,,,,,
162,2013.0,Maryland,4-year,20199.0,Public,Out-of-State,Fees,Tuition
163,2013.0,Maryland,4-year,10043.0,Public,Out-of-State,Room,Board
164,2013.0,Massachusetts,4-year,36795.0,Private,,Fees,Tuition
165,2013.0,Massachusetts,4-year,13076.0,Private,,Room,Board
166,2013.0,Massachusetts,2-year,4186.0,Public,In-State,Fees,Tuition
167,2013.0,Massachusetts,4-year,10632.0,Public,In-State,Fees,Tuition
168,,,,,,,,
169,2013.0,Massachusetts,2-year,9516.0,Public,Out-of-State,Fees,Tuition
170,2013.0,Massachusetts,4-year,24399.0,Public,Out-of-State,Fees,Tuition
171,2013.0,Massachusetts,4-year,10462.0,Public,Out-of-State,Room,Board
172,2013.0,Michigan,4-year,18135.0,Private,,,Tuition
173,2013.0,Michigan,4-year,8246.0,Private,,Room,Board
174,2013.0,Michigan,2-year,2736.0,Public,In-State,Fees,Tuition
175,2013.0,Michigan,4-year,11027.0,Public,In-State,Fees,Tuition
176,2013.0,Michigan,4-year,8838.0,Public,In-State,Room,Board
177,9999.0,Michigan,2-year,5651.0,Public,Out-of-State,Fees,Tuition
178,2013.0,Michigan,4-year,31047.0,Public,Out-of-State,Fees,Tuition
179,2013.0,Michigan,4-year,8838.0,Public,Out-of-State,Room,Board
180,2013.0,Minnesota,4-year,26499.0,Private,,Fees,Tuition
181,2013.0,Minnesota,4-year,8910.0,Private,,Room,Board
182,2013.0,Minnesota,2-year,5362.0,Public,In-State,Fees,Tuition
183,2013.0,Minnesota,4-year,10291.0,Public,In-State,,Tuition
184,2013.0,Minnesota,4-year,9999999.0,Public,In-State,Room,Board
185,2013.0,Minnesota,2-year,6197.0,Public,Out-of-State,Fees,Tuition
186,2013.0,Minnesota,4-year,9999999.0,Public,Out-of-State,Fees,Tuition
187,2013.0,Minnesota,4-year,7708.0,Public,Out-of-State,Room,Board
188,2013.0,Mississippi,4-year,14592.0,Private,,Fees,Tuition
189,2013.0,Mississippi,4-year,6289.0,Private,,Room,Board
190,2013.0,Mississippi,2-year,2276.0,Public,In-State,Fees,Tuition
191,2013.0,Mississippi,4-year,6147.0,Public,In-State,,Tuition
192,2013.0,Mississippi,4-year,7436.0,Public,In-State,Room,Board
193,2013.0,Mississippi,2-year,4284.0,Public,Out-of-State,Fees,Tuition
194,2013.0,Mississippi,4-year,15055.0,Public,Out-of-State,Fees,Tuition
195,2013.0,Mississippi,4-year,7436.0,Public,Out-of-State,Room,Board
196,2013.0,Missouri,4-year,19020.0,Private,,Fees,Tuition
197,2013.0,Missouri,4-year,8595.0,Private,,Room,Board
198,2013.0,Missouri,2-year,2716.0,Public,In-State,,Tuition
199,2013.0,Missouri,4-year,7815.0,Public,In-State,Fees,Tuition
200,2013.0,Missouri,4-year,8421.0,Public,In-State,Room,Board
201,2013.0,Missouri,2-year,5384.0,Public,Out-of-State,Fees,Tuition
202,2013.0,Missouri,4-year,18885.0,Public,Out-of-State,Fees,Tuition
203,2013.0,Missouri,4-year,8421.0,Public,Out-of-State,Room,Board
204,2013.0,Montana,4-year,19737.0,Private,,Fees,Tuition
205,2013.0,Montana,4-year,7584.0,Private,,Room,Board
206,2013.0,Montana,2-year,3151.0,Public,In-State,Fees,Tuition
207,2013.0,Montana,4-year,6267.0,Public,In-State,Fees,Tuition
208,2013.0,Montana,4-year,7306.0,Public,In-State,Room,Board
209,2013.0,Montana,2-year,8351.0,Public,Out-of-State,,Tuition
210,2013.0,Montana,4-year,20164.0,Public,Out-of-State,Fees,Tuition
211,2013.0,Montana,4-year,7306.0,Public,Out-of-State,Room,Board
212,2013.0,Nebraska,4-year,19478.0,Private,,Fees,Tuition
213,2013.0,Nebraska,4-year,7733.0,Private,,Room,Board
